subject,problem_type,learning_block,compression_score
09,6,4,0.4375
10,6,4,0.40625
11,6,4,0.375
12,6,4,0.40625
13,6,4,0.375
14,6,4,0.40625
15,6,4,0.375
16,6,4,0.40625
17,6,4,0.40625
18,6,4,0.375
19,6,4,0.375
20,6,4,0.4375
21,6,4,0.375
22,6,4,0.375
23,6,4,0.40625
24,6,4,0.40625
