subject,problem_type,learning_block,compression_score
05,1,3,0.71875
06,1,3,0.5
07,1,3,0.53125
08,1,3,0.40625
09,1,3,0.65625
10,1,3,0.5
11,1,3,0.71875
12,1,3,0.375
13,1,3,0.5
14,1,3,0.5625
15,1,3,0.5625
16,1,3,0.40625
17,1,3,0.6875
18,1,3,0.4375
19,1,3,0.5625
20,1,3,0.4375
21,1,3,0.4375
22,1,3,0.5
23,1,3,0.46875
24,1,3,0.46875
02,2,3,0.53125
03,2,3,0.65625
04,2,3,0.46875
05,2,3,0.65625
06,2,3,0.4375
07,2,3,0.53125
08,2,3,0.375
09,2,3,0.4375
10,2,3,0.40625
11,2,3,0.46875
12,2,3,0.46875
13,2,3,0.4375
14,2,3,0.40625
15,2,3,0.5
16,2,3,0.5
17,2,3,0.53125
18,2,3,0.5
19,2,3,0.40625
20,2,3,0.53125
21,2,3,0.46875
22,2,3,0.78125
23,2,3,0.40625
24,2,3,0.5
02,6,3,0.4375
03,6,3,0.4375
04,6,3,0.40625
05,6,3,0.59375
06,6,3,0.53125
07,6,3,0.4375
08,6,3,0.5625
09,6,3,0.59375
10,6,3,0.4375
11,6,3,0.4375
12,6,3,0.5
13,6,3,0.40625
14,6,3,0.4375
15,6,3,0.4375
16,6,3,0.5625
17,6,3,0.40625
18,6,3,0.65625
19,6,3,0.46875
20,6,3,0.5
21,6,3,0.4375
22,6,3,0.40625
23,6,3,0.5
24,6,3,0.5625
02,1,4,0.5
03,1,4,0.375
04,1,4,0.46875
05,1,4,0.625
06,1,4,0.59375
07,1,4,0.5625
08,1,4,0.46875
09,1,4,0.59375
10,1,4,0.53125
11,1,4,0.6875
12,1,4,0.4375
13,1,4,0.53125
14,1,4,0.53125
15,1,4,0.625
16,1,4,0.4375
17,1,4,0.6875
18,1,4,0.5
19,1,4,0.5
20,1,4,0.40625
21,1,4,0.40625
22,1,4,0.46875
23,1,4,0.46875
24,1,4,0.46875
02,2,4,0.53125
03,2,4,0.59375
04,2,4,0.40625
05,2,4,0.65625
06,2,4,0.46875
07,2,4,0.46875
08,2,4,0.40625
09,2,4,0.4375
10,2,4,0.5
11,2,4,0.46875
12,2,4,0.46875
13,2,4,0.4375
14,2,4,0.5
15,2,4,0.46875
16,2,4,0.46875
17,2,4,0.59375
18,2,4,0.5
19,2,4,0.4375
20,2,4,0.65625
21,2,4,0.53125
22,2,4,0.75
23,2,4,0.40625
24,2,4,0.53125
02,6,4,0.5625
03,6,4,0.53125
04,6,4,0.4375
05,6,4,0.59375
06,6,4,0.5
07,6,4,0.5
08,6,4,0.5
09,6,4,0.53125
10,6,4,0.5625
11,6,4,0.40625
12,6,4,0.4375
13,6,4,0.4375
14,6,4,0.46875
15,6,4,0.40625
16,6,4,0.53125
17,6,4,0.46875
18,6,4,0.625
19,6,4,0.40625
20,6,4,0.625
21,6,4,0.46875
22,6,4,0.375
23,6,4,0.46875
24,6,4,0.46875
