subject,problem_type,learning_block,compression_score
15,6,4,0.375
16,6,4,0.53125
17,6,4,0.46875
18,6,4,0.5625
19,6,4,0.46875
20,6,4,0.625
21,6,4,0.46875
22,6,4,0.4375
23,6,4,0.4375
24,6,4,0.46875
